songstats_id,PWR,title
zho35vc2,7.0462,pretty lies
p84oke36,6.8237,innerself
h8dvuboj,6.7908,touch my body
8cp4xq9r,6.7864,but you
rsikq7vo,6.5747,all my life jessee remix
kh0ei5bp,6.5338,strangers searching for you
9bh2nks0,6.5119,discotech
2shy89a3,6.5006,floating
6xntjmyk,6.4744,perfect people  midnight in amsterdam 'driving fast' remix
uht1l5m7,6.4568,weightless
vm27rb6i,6.4444,get u all the way
kl165wfz,6.4428,from the ashes
pckmxzsj,6.3229,gimme vibes
r3nlk0we,6.2342,sound traveller
bn56do1h,6.2151,coincidence
nyz3tfek,6.2032,horizon
jxhvng48,6.1876,deep blue phloem remix
wcdq8aui,6.1793,finding you sektor & subsequent remix
xfuhb8ml,6.1241,between old and new humannature remix
mx8bglwe,5.9253,magnitude
w425fu1t,5.8571,live on
yortjh8i,5.831,if we wait telomic remix
5a8m27dx,5.5679,not coming down
qw9h82lg,5.5336,give a try
j9zdchlu,5.4949,celestial last time
m0q9nujb,5.3955,hita jyye remix
k3756v41,5.3825,can you
i1ybe2s0,5.2259,elohim
kmgvj42a,5.1759,energy
4owlyi76,5.1346,4 am
d6pgr5zf,4.9262,drilling the switch
hfjgbo3x,4.5643,shrine
e2chud86,3.7587,sweet company
iukgelph,3.4667,push honey & badger remix
t2bi3g69,3.2858,rhyme dust retrovision flip
phq58wed,3.2727,one more night
cxsruom1,3.1945,17 ekko & sidetrack bootleg
mbjr7uin,2.5774,band4band kaaze remix
5fc29dga,2.572,all ur luv similar outskirts remix
a7z986yl,2.5563,together forever
95d4i60n,2.3779,sunshine
bvrp6jlh,2.0429,ratata secret menu flip
ghzbn7s1,1.8861,training season ellis remix
s0yn3m2g,1.8389,dune
z90p25na,1.6419,yes and ellis remix
nl3bivek,0.4406,illusion dominic strike remix
